Model,ALL,professional_accounting,elementary_mathematics,college_mathematics,college_computer_science,date_understanding,philosophy,college_chemistry,college_medicine,international_law,professional_law,business_ethics,formal_logic,college_physics,high_school_statistics,college_biology,electrical_engineering,jurisprudence,abstract_algebra,Challenging Math,Math,disambiguation_qa
GPT-4 All Correct,1311.05 +- 392.51,nan +- nan,nan +- nan,985.00 +- 267.68,1860.00 +- 77.78,1163.50 +- 615.89,1500.00 +- nan,1523.00 +- nan,nan +- nan,1828.00 +- nan,1611.00 +- 106.07,893.00 +- nan,nan +- nan,1399.50 +- 133.64,1666.00 +- nan,nan +- nan,765.00 +- nan,1094.00 +- nan,1376.00 +- nan,nan +- nan,879.00 +- nan,nan +- nan
GPT-4 All Incorrect,1687.27 +- 528.39,1000.00 +- nan,nan +- nan,nan +- nan,1839.00 +- nan,nan +- nan,1267.00 +- nan,nan +- nan,1449.67 +- 553.87,2292.50 +- 9.19,1993.83 +- 323.08,1026.50 +- 498.51,1666.00 +- nan,nan +- nan,2004.00 +- nan,1308.00 +- nan,1323.00 +- nan,nan +- nan,1881.50 +- 1007.63,nan +- nan,nan +- nan,nan +- nan
GPT-4 Mix,1284.91 +- 556.74,1185.69 +- 396.29,455.00 +- nan,1663.33 +- 486.46,1815.12 +- 544.86,852.12 +- 351.09,1706.00 +- 315.93,1680.73 +- 389.37,1486.00 +- 197.67,1770.25 +- 143.74,2021.62 +- 422.40,1414.20 +- 336.29,883.33 +- 46.54,1497.00 +- 476.33,1495.10 +- 182.77,1564.50 +- 601.23,1540.33 +- 271.80,1650.25 +- 280.55,1243.33 +- 157.33,663.96 +- 354.00,853.88 +- 379.16,631.57 +- 326.60
GPT-3.5 All Correct,1132.11 +- 439.54,nan +- nan,nan +- nan,985.00 +- 267.68,1860.00 +- 77.78,1599.00 +- nan,1500.00 +- nan,1315.50 +- 269.41,nan +- nan,nan +- nan,1610.50 +- 106.77,893.00 +- nan,nan +- nan,1391.00 +- 121.62,1657.00 +- nan,nan +- nan,765.00 +- nan,1094.00 +- nan,1376.00 +- nan,899.00 +- 42.43,879.00 +- nan,542.40 +- 160.40
GPT-3.5 All Incorrect,1687.41 +- 590.93,1535.00 +- 756.60,nan +- nan,2130.00 +- nan,2123.67 +- 450.45,nan +- nan,1267.00 +- nan,1598.00 +- nan,1449.67 +- 553.87,2292.50 +- 9.19,2059.00 +- 341.63,1026.50 +- 498.51,nan +- nan,nan +- nan,1770.50 +- 330.22,1029.00 +- 394.57,1448.00 +- 42.43,1696.00 +- nan,1881.50 +- 1007.63,nan +- nan,nan +- nan,207.00 +- nan
GPT-3.5 Mix,1066.63 +- 576.31,1125.20 +- 328.41,455.00 +- nan,1625.79 +- 485.89,1664.83 +- 500.34,838.33 +- 331.01,1706.00 +- 315.93,1749.00 +- 384.14,1486.00 +- 197.67,1781.80 +- 127.13,1960.43 +- 416.18,1414.20 +- 336.29,1079.00 +- 393.17,1489.58 +- 475.42,1487.78 +- 196.16,1836.00 +- 316.13,1541.93 +- 283.67,1635.00 +- 341.57,1243.33 +- 157.33,650.02 +- 318.57,687.24 +- 319.24,459.11 +- 99.89
Claude All Correct,1013.25 +- 483.96,nan +- nan,nan +- nan,887.33 +- 224.15,1860.00 +- 77.78,1163.50 +- 615.89,1500.00 +- nan,1315.50 +- 269.41,nan +- nan,1828.00 +- nan,1610.50 +- 106.77,893.00 +- nan,nan +- nan,1477.00 +- nan,1657.00 +- nan,nan +- nan,765.00 +- nan,1094.00 +- nan,nan +- nan,712.50 +- 334.46,801.00 +- 119.23,502.50 +- 86.70
Claude All Incorrect,1210.17 +- 607.73,nan +- nan,nan +- nan,2130.00 +- nan,1839.00 +- nan,nan +- nan,1443.50 +- 249.61,1598.00 +- nan,1765.00 +- 130.11,2299.00 +- nan,1835.00 +- 401.64,1026.50 +- 498.51,nan +- nan,1940.00 +- nan,2004.00 +- nan,1029.00 +- 394.57,1418.00 +- nan,nan +- nan,1881.50 +- 1007.63,618.50 +- 205.77,814.50 +- 31.82,691.75 +- 163.06
Claude Mix,1246.33 +- 534.28,1173.41 +- 385.58,455.00 +- nan,1602.60 +- 476.75,1815.12 +- 544.86,852.12 +- 351.09,1716.75 +- 335.98,1749.00 +- 384.14,1352.60 +- 343.92,1873.40 +- 262.10,2038.83 +- 374.28,1414.20 +- 336.29,1079.00 +- 393.17,1436.67 +- 455.66,1492.70 +- 185.60,1836.00 +- 316.13,1537.67 +- 273.85,1650.25 +- 280.55,1256.60 +- 154.15,833.77 +- 306.19,932.32 +- 353.64,590.05 +- 177.01
