Model,ALL,professional_accounting,elementary_mathematics,college_mathematics,college_computer_science,date_understanding,philosophy,college_chemistry,college_medicine,international_law,professional_law,business_ethics,formal_logic,college_physics,high_school_statistics,college_biology,electrical_engineering,jurisprudence,abstract_algebra,Challenging Math,Math,disambiguation_qa
GPT-4 All Correct,392.14 +- 367.27,nan +- nan,nan +- nan,181.00 +- 37.21,628.50 +- 50.20,232.50 +- 10.61,169.00 +- nan,182.00 +- nan,nan +- nan,419.00 +- nan,1416.50 +- 16.26,362.00 +- nan,nan +- nan,328.50 +- 33.23,324.00 +- nan,nan +- nan,228.00 +- nan,140.00 +- nan,278.00 +- nan,nan +- nan,197.00 +- nan,nan +- nan
GPT-4 All Incorrect,628.09 +- 524.51,307.00 +- nan,nan +- nan,nan +- nan,213.00 +- nan,nan +- nan,263.00 +- nan,nan +- nan,370.00 +- 98.24,501.50 +- 70.00,1365.83 +- 376.12,140.50 +- 40.31,701.00 +- nan,nan +- nan,646.00 +- nan,601.00 +- nan,150.00 +- nan,nan +- nan,174.00 +- 123.04,nan +- nan,nan +- nan,nan +- nan
GPT-4 Mix,330.80 +- 273.67,383.81 +- 149.60,266.00 +- nan,203.20 +- 93.66,466.75 +- 117.43,201.75 +- 30.27,226.78 +- 76.24,252.45 +- 121.28,212.50 +- 103.69,466.00 +- 63.22,1451.25 +- 342.50,313.20 +- 149.38,315.00 +- 136.96,331.50 +- 70.20,494.30 +- 170.64,430.50 +- 256.25,175.87 +- 41.82,227.25 +- 111.62,180.11 +- 67.48,244.42 +- 94.76,233.81 +- 105.83,306.07 +- 17.13
GPT-3.5 All Correct,369.37 +- 324.58,nan +- nan,nan +- nan,181.00 +- 37.21,628.50 +- 50.20,240.00 +- nan,169.00 +- nan,224.00 +- 59.40,nan +- nan,nan +- nan,1416.50 +- 16.26,362.00 +- nan,nan +- nan,328.50 +- 33.23,324.00 +- nan,nan +- nan,228.00 +- nan,140.00 +- nan,278.00 +- nan,296.50 +- 98.29,197.00 +- nan,304.60 +- 21.55
GPT-3.5 All Incorrect,561.03 +- 500.14,273.50 +- 47.38,nan +- nan,372.00 +- nan,422.00 +- 223.14,nan +- nan,263.00 +- nan,159.00 +- nan,370.00 +- 98.24,501.50 +- 70.00,1393.14 +- 350.87,140.50 +- 40.31,nan +- nan,nan +- nan,660.00 +- 19.80,386.00 +- 304.06,138.00 +- 19.80,168.00 +- nan,174.00 +- 123.04,nan +- nan,nan +- nan,316.00 +- nan
GPT-3.5 Mix,310.15 +- 232.10,393.40 +- 149.68,266.00 +- nan,191.14 +- 84.25,446.83 +- 102.90,204.33 +- 29.36,226.78 +- 76.24,261.33 +- 131.08,212.50 +- 103.69,456.60 +- 58.65,1436.14 +- 367.05,313.20 +- 149.38,411.50 +- 223.06,331.50 +- 70.20,474.33 +- 168.14,517.00 +- 231.51,179.43 +- 40.87,247.00 +- 127.86,180.11 +- 67.48,220.95 +- 89.88,258.00 +- 102.52,308.78 +- 24.28
Claude All Correct,362.12 +- 304.39,nan +- nan,nan +- nan,171.00 +- 38.43,628.50 +- 50.20,232.50 +- 10.61,169.00 +- nan,224.00 +- 59.40,nan +- nan,419.00 +- nan,1416.50 +- 16.26,362.00 +- nan,nan +- nan,305.00 +- nan,324.00 +- nan,nan +- nan,228.00 +- nan,140.00 +- nan,nan +- nan,132.00 +- 21.21,333.25 +- 158.99,316.00 +- 12.69
Claude All Incorrect,336.34 +- 250.93,nan +- nan,nan +- nan,372.00 +- nan,213.00 +- nan,nan +- nan,218.50 +- 62.93,159.00 +- nan,330.50 +- 99.70,551.00 +- nan,1208.50 +- 86.97,140.50 +- 40.31,nan +- nan,314.00 +- nan,646.00 +- nan,386.00 +- 304.06,124.00 +- nan,nan +- nan,174.00 +- 123.04,170.50 +- 50.20,283.50 +- 62.93,297.42 +- 23.02
Claude Mix,340.83 +- 296.61,379.29 +- 146.04,266.00 +- nan,192.47 +- 81.35,466.75 +- 117.43,201.75 +- 30.27,233.38 +- 78.71,261.33 +- 131.08,259.80 +- 138.74,463.20 +- 55.11,1449.00 +- 362.66,313.20 +- 149.38,411.50 +- 223.06,334.67 +- 70.20,494.30 +- 170.64,517.00 +- 231.51,177.60 +- 40.02,227.25 +- 111.62,189.90 +- 70.75,234.85 +- 95.81,240.94 +- 100.13,307.30 +- 19.67
